#,Page / Component / Hook,File Path,Line #,Method,Endpoint,Auth Required,Request Body,Query Params,State Management,Fetching Library,Trigger Type,Criticality,Schema Status,Schema Evidence
28,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:260,260,POST,/admin/attendance/manual/,Yes (Bearer via interceptor),payload argument,student_id,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/attendance/manual/ found in schema.yml.
29,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:278,278,POST,/admin/qr/regenerate/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/qr/regenerate/ found in schema.yml.
30,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:279,279,POST,/admin/qr/expire/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/qr/expire/ found in schema.yml.
31,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:280,280,POST,/admin/qr/generate/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/qr/generate/ found in schema.yml.
32,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:291,291,POST,/admin/holidays/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/holidays/ found in schema.yml.
33,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:305,305,DELETE,/admin/holidays/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/holidays/{id}/ found in schema.yml.
34,Page: /dashboard/inbox,app/dashboard/inbox/page.tsx:29,29,GET,/admin/inbox/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/inbox/ found in schema.yml.
35,Page: /dashboard/inbox,app/dashboard/inbox/page.tsx:32,32,POST,/admin/inbox/${id}/${action}/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,on-mount/query,High,PASS,POST /api/v1/admin/inbox/{id}/{action}/ found in schema.yml.
36,Page: /dashboard/inbox,app/dashboard/inbox/page.tsx:41,41,DELETE,/admin/inbox/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/inbox/{id}/ found in schema.yml.
37,Page: /dashboard/leaderboard,app/dashboard/leaderboard/page.tsx:17,17,GET,/study/leaderboard/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,FAIL,/api/v1/study/leaderboard/ not found in schema.yml.
38,Page: /dashboard/library,app/dashboard/library/page.tsx:28,28,GET,/library/info/,No/route-dependent,—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/library/info/ found in schema.yml.
39,Page: /dashboard/library,app/dashboard/library/page.tsx:29,29,GET,/admin/library/facilities/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/library/facilities/ found in schema.yml.
40,Page: /dashboard/library,app/dashboard/library/page.tsx:30,30,GET,/admin/library/achievers/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/library/achievers/ found in schema.yml.
41,Page: /dashboard/library,app/dashboard/library/page.tsx:31,31,GET,/library/reviews/,No/route-dependent,—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/library/reviews/ found in schema.yml.
42,Page: /dashboard/library,app/dashboard/library/page.tsx:32,32,GET,/library/reviews/summary/,No/route-dependent,—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/library/reviews/summary/ found in schema.yml.
43,Page: /dashboard/library,app/dashboard/library/page.tsx:53,53,PUT,/admin/library/info/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,PUT /api/v1/admin/library/info/ found in schema.yml.
44,Page: /dashboard/library,app/dashboard/library/page.tsx:66,66,POST,/admin/library/facilities/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,POST /api/v1/admin/library/facilities/ found in schema.yml.
45,Page: /dashboard/library,app/dashboard/library/page.tsx:81,81,PUT,/admin/library/facilities/${id}/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,PUT /api/v1/admin/library/facilities/{id}/ found in schema.yml.
46,Page: /dashboard/library,app/dashboard/library/page.tsx:96,96,PATCH,/admin/library/facilities/${id}/toggle/,Yes (Bearer via interceptor),{ is_active },is_active,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PATCH /api/v1/admin/library/facilities/{id}/toggle/ found in schema.yml.
47,Page: /dashboard/library,app/dashboard/library/page.tsx:105,105,DELETE,/admin/library/facilities/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/library/facilities/{id}/ found in schema.yml.
48,Page: /dashboard/library,app/dashboard/library/page.tsx:114,114,POST,/admin/library/achievers/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,POST /api/v1/admin/library/achievers/ found in schema.yml.
49,Page: /dashboard/library,app/dashboard/library/page.tsx:129,129,PUT,/admin/library/achievers/${id}/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,PUT /api/v1/admin/library/achievers/{id}/ found in schema.yml.
50,Page: /dashboard/library,app/dashboard/library/page.tsx:144,144,PATCH,/admin/library/achievers/${id}/toggle/,Yes (Bearer via interceptor),{ is_active },is_active,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PATCH /api/v1/admin/library/achievers/{id}/toggle/ found in schema.yml.
51,Page: /dashboard/library,app/dashboard/library/page.tsx:153,153,DELETE,/admin/library/achievers/${id}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/library/achievers/{id}/ found in schema.yml.
52,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:56,56,GET,/admin/plans/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/plans/ found in schema.yml.
53,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:57,57,GET,/admin/plans/stats/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/plans/stats/ found in schema.yml.
54,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:58,58,GET,/admin/memberships/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/memberships/ found in schema.yml.
55,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:59,59,GET,/admin/memberships/expiring/,Yes (Bearer via interceptor),—,days,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/memberships/expiring/ found in schema.yml.
56,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:60,60,GET,/admin/memberships/expired-today/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/memberships/expired-today/ found in schema.yml.
57,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:63,63,GET,/admin/plans/${id}/students/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/plans/{id}/students/ found in schema.yml.
58,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:68,68,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/students/ found in schema.yml.
59,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:80,80,PUT,/admin/plans/${id}/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PUT /api/v1/admin/plans/{id}/ found in schema.yml.
60,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:80,80,POST,/admin/plans/create/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/plans/create/ found in schema.yml.
61,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:92,92,PATCH,/admin/plans/${id}/toggle/,Yes (Bearer via interceptor),{ is_active },is_active,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PATCH /api/v1/admin/plans/{id}/toggle/ found in schema.yml.
62,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:102,102,POST,/admin/memberships/renew/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/memberships/renew/ found in schema.yml.
63,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:103,103,POST,/admin/memberships/upgrade/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/memberships/upgrade/ found in schema.yml.
64,Page: /dashboard/memberships,app/dashboard/memberships/page.tsx:104,104,POST,/admin/memberships/assign/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/memberships/assign/ found in schema.yml.
65,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:58,58,GET,/admin/settings/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/settings/ found in schema.yml.
66,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:71,71,PUT,/admin/settings/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PUT /api/v1/admin/settings/ found in schema.yml.
67,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:95,95,GET,/admin/notifications/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/notifications/ found in schema.yml.
68,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:96,96,GET,/admin/notifications/scheduled/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/notifications/scheduled/ found in schema.yml.
69,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:97,97,GET,/admin/notifications/templates/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/notifications/templates/ found in schema.yml.
70,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:98,98,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/students/ found in schema.yml.
71,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:101,101,GET,/admin/notifications/${id}/recipients/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/notifications/{id}/recipients/ found in schema.yml.
72,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:127,127,POST,/admin/notifications/send/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,POST /api/v1/admin/notifications/send/ found in schema.yml.
73,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:139,139,POST,/admin/notifications/schedule/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),mutation/user-action,High,PASS,POST /api/v1/admin/notifications/schedule/ found in schema.yml.
74,Page: /dashboard/notifications,app/dashboard/notifications/page.tsx:151,151,DELETE,/admin/notifications/scheduled/${id}/cancel/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/notifications/scheduled/{id}/cancel/ found in schema.yml.
75,Page: /dashboard,app/dashboard/page.tsx:65,65,GET,/dashboard/stats/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/dashboard/stats/ found in schema.yml.
76,Page: /dashboard,app/dashboard/page.tsx:68,68,GET,/dashboard/charts/${domain}/${chart}/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/dashboard/charts/{domain}/{chart}/ found in schema.yml.
77,Page: /dashboard,app/dashboard/page.tsx:70,70,GET,/dashboard/alerts/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/dashboard/alerts/ found in schema.yml.
78,Page: /dashboard,app/dashboard/page.tsx:73,73,GET,/dashboard/activity/recent/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/dashboard/activity/recent/ found in schema.yml.
79,Page: /dashboard/payments,app/dashboard/payments/page.tsx:45,45,GET,/admin/payments/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/payments/ found in schema.yml.
80,Page: /dashboard/payments,app/dashboard/payments/page.tsx:47,47,GET,/admin/payments/summary/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/payments/summary/ found in schema.yml.
81,Page: /dashboard/payments,app/dashboard/payments/page.tsx:48,48,GET,/admin/payments/pending/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/payments/pending/ found in schema.yml.
82,Page: /dashboard/payments,app/dashboard/payments/page.tsx:49,49,GET,/admin/payments/overdue/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/payments/overdue/ found in schema.yml.
83,Page: /dashboard/payments,app/dashboard/payments/page.tsx:50,50,GET,/plans/,No/route-dependent,—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/plans/ found in schema.yml.
84,Page: /dashboard/payments,app/dashboard/payments/page.tsx:55,55,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/students/ found in schema.yml.
85,Page: /dashboard/payments,app/dashboard/payments/page.tsx:61,61,GET,/admin/memberships/,Yes (Bearer via interceptor),—,"page_size, student_id",React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/memberships/ found in schema.yml.
86,Page: /dashboard/payments,app/dashboard/payments/page.tsx:80,80,POST,/admin/payments/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/payments/ found in schema.yml.
87,Page: /dashboard/payments,app/dashboard/payments/page.tsx:94,94,POST,/admin/payments/${id}/verify/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/payments/{id}/verify/ found in schema.yml.
88,Page: /dashboard/payments,app/dashboard/payments/page.tsx:104,104,POST,/admin/payments/${id}/refund/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/payments/{id}/refund/ found in schema.yml.
89,Page: /dashboard/payments,app/dashboard/payments/page.tsx:212,212,GET,/admin/payments/${id}/receipt/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client (blob download),on-click,Medium,PASS,GET /api/v1/admin/payments/{id}/receipt/ found in schema.yml.
90,Page: /dashboard/profile,app/dashboard/profile/page.tsx:31,31,GET,/admin/profile/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/profile/ found in schema.yml.
91,Page: /dashboard/profile,app/dashboard/profile/page.tsx:34,34,PUT,/admin/profile/,Yes (Bearer via interceptor),FormData/multipart,—,React Query wrapper/call site,axios api client (multipart),on-mount/query,High,PASS,PUT /api/v1/admin/profile/ found in schema.yml.
92,Page: /dashboard/reports,app/dashboard/reports/page.tsx:67,67,GET,/admin/attendance/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/attendance/ found in schema.yml.
93,Page: /dashboard/reports,app/dashboard/reports/page.tsx:68,68,GET,/admin/payments/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/payments/ found in schema.yml.
94,Page: /dashboard/reports,app/dashboard/reports/page.tsx:69,69,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/students/ found in schema.yml.
95,Page: /dashboard/reports,app/dashboard/reports/page.tsx:70,70,GET,/admin/memberships/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Critical,PASS,GET /api/v1/admin/memberships/ found in schema.yml.
96,Page: /dashboard/reports,app/dashboard/reports/page.tsx:71,71,GET,/reports/daily-summary/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/reports/daily-summary/ found in schema.yml.
97,Page: /dashboard/reports,app/dashboard/reports/page.tsx:72,72,GET,/reports/seats/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/reports/seats/ found in schema.yml.
98,Page: /dashboard/reports,app/dashboard/reports/page.tsx:118,118,GET,/reports/${kind}/export/,Yes (Bearer via interceptor),—,format,React Query wrapper/call site,axios api client (blob download),on-click,Medium,PASS,GET /api/v1/reports/{kind}/export/ found in schema.yml.
99,Page: /dashboard/reviews,app/dashboard/reviews/page.tsx:25,25,GET,/admin/reviews/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/reviews/ found in schema.yml.
100,Page: /dashboard/reviews,app/dashboard/reviews/page.tsx:26,26,GET,/admin/reviews/pending/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/reviews/pending/ found in schema.yml.
101,Page: /dashboard/reviews,app/dashboard/reviews/page.tsx:27,27,GET,/library/reviews/summary/,No/route-dependent,—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/library/reviews/summary/ found in schema.yml.
102,Page: /dashboard/reviews,app/dashboard/reviews/page.tsx:37,37,POST,/admin/reviews/${id}/approve/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/reviews/{id}/approve/ found in schema.yml.
103,Page: /dashboard/reviews,app/dashboard/reviews/page.tsx:46,46,POST,/admin/reviews/${id}/reject/,Yes (Bearer via interceptor),{ reason },—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/admin/reviews/{id}/reject/ found in schema.yml.
104,Page: /dashboard/reviews,app/dashboard/reviews/page.tsx:56,56,DELETE,/admin/reviews/${id}/delete/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/admin/reviews/{id}/delete/ found in schema.yml.
105,Page: /dashboard/seats,app/dashboard/seats/page.tsx:51,51,GET,/admin/seats/,Yes (Bearer via interceptor),—,page_size,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/seats/ found in schema.yml.
106,Page: /dashboard/seats,app/dashboard/seats/page.tsx:52,52,GET,/admin/seats/layout/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/seats/layout/ found in schema.yml.
107,Page: /dashboard/seats,app/dashboard/seats/page.tsx:53,53,GET,/admin/seats/stats/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/seats/stats/ found in schema.yml.
108,Page: /dashboard/seats,app/dashboard/seats/page.tsx:54,54,GET,/admin/seats/available/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/seats/available/ found in schema.yml.
