Endpoint,Method,Status,Elapsed ms,Grade,Verdict,Response Shape,Evidence
/admin/notifications/1/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/notifications/1/recipients/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/notifications/scheduled/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/notifications/templates/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/inbox/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/library/info/,GET,0,27.0,Excellent,FAIL,network error,Request failed before an HTTP response was received.
/admin/library/facilities/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/library/achievers/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/library/achievers/,GET,0,14.3,Excellent,FAIL,network error,Request failed before an HTTP response was received.
/library/reviews/,GET,0,3.2,Excellent,FAIL,network error,Request failed before an HTTP response was received.
/library/reviews/summary/,GET,0,4.4,Excellent,FAIL,network error,Request failed before an HTTP response was received.
/admin/reviews/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/reviews/pending/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/reports/attendance/?page_size=5,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/reports/daily-summary/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/reports/seats/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/superadmin/admins/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/superadmin/permissions/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/superadmin/backup/list/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/superadmin/activity-log/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/superadmin/health/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
/admin/sliders/,GET,SKIPPED,—,—,BLOCKED,—,Protected production endpoint skipped because no valid admin access token was available.
